"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Jan-2023"
"NIFTY 200","11,783.10","11,783.65","11,660.20","11,769.40","11,724.75","-44.65","-0.38","2,21,31,35,938","75,881.66","12,074.80","8,767.55","1.35","22.97"
"ACC","2,248.70","2,563.75","2,238.85","2,240.60","2,509.00","268.40","11.98","30,08,170","717.47","2,563.75","1,592.35","18.03","5.65"
"FACT","826.00","908.00","825.05","822.60","885.00","62.40","7.59","49,22,603","432.49","908.00","192.00","11.60","175.16"
"AMBUJACEM","530.00","566.00","526.35","527.45","565.05","37.60","7.13","80,19,238","440.20","566.00","315.30","11.18","12.27"
"BAJAJ-AUTO","7,360.00","7,625.15","7,210.00","7,212.85","7,590.00","377.15","5.23","20,65,788","1,543.35","7,625.15","3,611.45","19.23","106.09"
"MOTHERSON","110.40","116.15","109.65","110.00","115.25","5.25","4.77","4,44,96,421","504.23","116.15","61.80","21.73","56.37"
"ADANIPOWER","522.40","545.00","521.00","519.95","544.00","24.05","4.63","21,75,726","116.07","589.45","132.40","6.00","-"
"BHEL","211.00","220.60","211.00","209.90","219.50","9.60","4.57","3,44,10,301","744.47","225.50","66.30","23.33","179.95"
"SAIL","115.90","119.95","114.00","115.05","119.50","4.45","3.87","6,28,50,007","741.25","126.90","77.60","5.63","30.88"
"INDIANB","445.10","479.00","443.25","441.60","458.20","16.60","3.76","1,16,15,214","541.32","479.00","252.20","11.74","58.75"
"PNB","102.75","106.00","100.65","102.20","105.80","3.60","3.52","11,17,91,532","1,152.35","106.70","44.40","17.09","88.29"
"L&TFH","162.00","167.35","161.40","161.25","166.80","5.55","3.44","55,13,833","91.03","174.95","78.95","9.23","84.22"
"NHPC","81.50","84.40","80.45","80.40","83.15","2.75","3.42","14,34,23,574","1,189.70","85.00","37.75","28.75","91.49"
"GODREJPROP","2,267.05","2,334.90","2,266.40","2,266.40","2,332.00","65.60","2.89","9,48,389","219.11","2,357.20","1,005.00","18.01","91.41"
"ADANIENSOL","1,041.85","1,077.00","1,038.00","1,036.25","1,065.50","29.25","2.82","15,05,572","159.58","2,799.95","631.50","3.30","-"
"CGPOWER","450.00","472.00","432.65","449.35","462.00","12.65","2.82","52,35,201","236.47","503.45","276.65","-0.77","54.70"
"ADANIPORTS","1,122.15","1,155.75","1,111.60","1,120.60","1,151.00","30.40","2.71","43,05,042","487.11","1,229.90","395.10","11.56","50.59"
"CANBK","455.10","469.45","453.40","454.30","466.25","11.95","2.63","1,23,55,761","573.81","484.90","268.80","9.21","45.34"
"NMDC","213.70","217.70","212.20","211.80","217.25","5.45","2.57","1,82,03,331","393.10","227.30","103.75","11.13","74.49"
"TATAPOWER","358.95","366.70","358.00","356.95","366.00","9.05","2.54","1,99,49,672","723.93","366.70","182.35","11.77","77.36"
